key,number_of_units,electricity_output_capacity (MW),heat_output_capacity (MW),full_load_hours,total_initial_investment_per_plant (Euros),fixed_operation_and_maintenance_costs_per_year (Euros),variable_operation_and_maintenance_costs_per_full_load_hour (Euros),wacc (factor),technical_lifetime (years),total_investment_over_lifetime_per_node (Euros)
energy_power_wind_turbine_offshore,2233.3333333333335,3.0,0.0,3733.54231974922,11707500.0,428882.885600175,0.0,0.04,20.0,26146750000.0
energy_transport_hydrogen_compressed_trucks,0.0,0.0,0.0,8760.0,882272.7726894255,787743.5470441299,0.0,0.07,15.0,0.0
energy_transport_hydrogen_pipelines,0.0,0.0,0.0,8760.0,64400000.0,16200000.0,0.0,0.07,30.0,0.0
households_cooling_airconditioning_electricity,554354.06243037,0.0,0.0025,560.0,1800.0,25.0,0.0,0.02,15.0,997837312.374666
households_cooling_heatpump_air_water_electricity,55453.84958161603,0.0,0.01,560.0,9098.0,100.0,0.0,0.02,15.0,504519123.4935426
households_cooling_heatpump_ground_water_electricity,18421.38222258502,0.0,0.01,560.0,13904.0,100.0,0.0,0.02,15.0,256130898.42282212
households_final_demand_hydrogen,0,0.0,0.0,,,,,,,
households_flexibility_p2p_electricity,0,0.005,0.0,0.0,11373.6,0.0,0.0,0.02,10.0,0.0
households_solar_pv_solar_radiation,20625000.0,0.000272,0.0,867.0,353.6,4.62,0.0,0.02,25.0,7293000000.0
households_solar_pvt_solar_radiation,0.0,0.000894,0.0003333333333333333,867.0,498.0,0.0,0.0,0.02,25.0,0.0
households_space_heater_coal,1079.8409106278748,0.0,0.0099,974.748897744373,1980.0,59.4,0.0,0.02,15.0,2138085.003043192
households_space_heater_combined_hydrogen,0.0,0.0,0.022,0.0,2075.8450000000003,96.52679250000001,0.0,0.02,15.0,0.0
households_space_heater_combined_network_gas,6638990.35572972,0.0,0.022,438.63700398496786,2134.39,98.0,0.0,0.02,15.0,14170194625.365955
households_space_heater_crude_oil,10937.582732347017,0.0,0.0105,919.0489607304088,2100.0,63.0,0.0,0.02,15.0,22968923.737928733
households_space_heater_district_heating_steam_hot_water,293833.3683456493,0.0,0.01,965.0014087669292,0.0,0.0,0.0,0.02,30.0,0.0
households_space_heater_electricity,119224.83952918084,0.0,0.006,1608.3356812782156,300.0,0.0,0.0,0.02,15.0,35767451.858754255
households_space_heater_heatpump_air_water_electricity,189422.8684513001,0.0,0.01,965.0014087669292,9098.0,100.0,0.0,0.02,15.0,1723369257.1699283
households_space_heater_heatpump_ground_water_electricity,62925.491771784946,0.0,0.01,965.0014087669291,13904.0,100.0,0.0,0.02,15.0,874916037.5948979
households_space_heater_heatpump_pvt_electricity,0.0,0.0,0.0078,0.0,12419.0,100.0,0.0,0.02,18.0,0.0
households_space_heater_hybrid_heatpump_air_water_electricity,13190.69797177849,0.0,0.004900000000000001,1969.3906301365903,3819.0,200.0,0.0,0.02,15.0,50375275.554222055
households_space_heater_hybrid_hydrogen_heatpump_air_water_electricity,0.0,0.0,0.0049,0.0,6500.0,200.0,0.0,0.02,15.0,0.0
households_space_heater_network_gas,184321.64930039147,0.0,0.022,438.63700398496786,1300.0,85.0,0.0,0.02,15.0,239618144.0905089
households_space_heater_wood_pellets,377859.30525722046,0.0,0.0101,955.4469393731973,3030.0,161.6,0.0,0.02,15.0,1144913694.929378
households_space_heating_savings_from_insulation,0,0.0,0.0,0.0,0.0,,,,40.0,0.0
households_water_heater_coal,0.0,0.0,0.0099,0.0,1980.0,59.4,0.0,0.02,15.0,0.0
households_water_heater_combined_hydrogen,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.02,15.0,0.0
households_water_heater_combined_network_gas,6711973.344728207,0.0,0.022,66.96395443992029,0.0,0.0,0.0,0.02,15.0,0.0
households_water_heater_crude_oil,0.0,0.0,0.0105,0.0,2100.0,63.0,0.0,0.02,15.0,0.0
households_water_heater_heatpump_air_water_electricity,150336.209112773,0.0,0.01,147.32069976782458,253.56875,0.0,0.0,0.02,15.0,38120564.62446446
households_water_heater_heatpump_ground_water_electricity,47275.808617144095,0.0,0.01,147.3206997678246,253.56875,0.0,0.0,0.02,15.0,11987667.696288457
households_water_heater_heatpump_pvt_electricity,0.0,0.0,0.0078,0.0,253.56874530428246,0.0,0.0,0.02,18.0,0.0
households_water_heater_hybrid_heatpump_air_water_electricity,11511.620948165257,0.0,0.0049,300.654489322091,0.0,0.0,0.0,0.02,15.0,0.0
households_water_heater_hybrid_hydrogen_heatpump_air_water_electricity,0.0,0.0,0.0049,0.0,0.0,0.0,0.0,0.02,15.0,0.0
households_water_heater_network_gas,185563.90094207536,0.0,0.024,61.383624903260255,484.0,30.0,0.0,0.02,15.0,89812928.05596447
households_water_heater_resistive_electricity,431914.7471067092,0.0,0.0015,982.137998452164,135.0,3.0,0.0,0.02,15.0,58308490.85940575
households_water_heater_solar_thermal,242110.36691729317,0.0,0.0014,791.666666666667,1155.0,14.7,0.0,0.02,20.0,279637473.7894736
households_water_heater_wood_pellets,0.0,0.0,0.0101,0.0,3030.0,214.010810810811,0.0,0.02,15.0,0.0
industry_aluminium_burner_network_gas,0.6963470319634755,0.0,100.0,2190.0,6000000.0,100000.0,0.0,0.04,15.0,4178082.1917808526
industry_chemicals_fertilizers_burner_coal,0.0,0.0,100.0,2190.0,20066666.6666667,100000.0,0.0,0.04,15.0,0.0
industry_chemicals_fertilizers_burner_crude_oil,0.0,0.0,100.0,2190.0,6000000.0,100000.0,0.0,0.04,15.0,0.0
